publicationID,subjects,references,year
901f7c77,particle physics beyond the standard model,430de0e2;c50b13d9;605fa80e;4dd834ae,2011
68df0b72,personalized nutrition using genomics,368ac66d,2004
700736fd,migration patterns and urbanization,56e28d2b;901f7c77;2ad397ab,2009
6bb26ff7,impact of ocean acidification on coral reefs,4e2f76d1;901f7c77;7d761ea5,2009
975b7b24,microplastics in freshwater systems,6c902c70;4ebca397;348620df,2018
6dbd40df,nuclear fusion reactor design,756be6f5;68df0b72;897c0dd5;247de265,1997
22b1fb93,convolutional neural networks for medical imaging,247de265;4ebca397;12d531a5;4443162d,2011
2e24eb17,federated learning for mobile devices,1adf50fe,1997
bce5ecd2,renewable energy integration into smart grids,ed820df6;21e5a8b6,1999
c372cb5e,history of mathematics in Islamic civilizations,98c4550a,2016
da731080,CRISPR gene drive implications,554f04a9,2004
e681c1a4,particle physics beyond the standard model,7d761ea5,2021
4d147e49,nanomaterials for energy storage,430de0e2;5d8be6d7;348620df,2006
56740307,graph neural networks in chemistry,5d01df9d;01d738ae,2008
3fed0579,ethics of AI surveillance technologies,4443162d;b1b216d3;e9dc1055;8f513786,2013
372f1993,viral evolution tracking through genomics,f6a821dd,2008
451a6c58,surface chemistry in catalysis,c8835004,2010
94ae86f6,CRISPR gene drive implications,26b49673;e74724a2,1994
f6e2ef4d,transformer models for language translation,2e24eb17;7f1a0b84;b0257079;368ac66d;3e1a0857,2014
b982ad22,personalized nutrition using genomics,86e265c7;3e1a0857;bce5ecd2;348620df;6bb26ff7,1996
3a4eedd5,drone-based delivery system optimization,de381482;09f4940e;805077b4,2019
623ec2ec,bioinformatics pipelines for metagenomics,a0b13ed3;34792c7d;dbba747c;09f4940e,2010
7d94f236,convolutional neural networks for medical imaging,20e96ae0;372f1993;2e24eb17;ff3b173d;6dbd40df,1998
8d3d4618,cyber-physical security for industrial systems,2ad397ab;cdbceee0;368ac66d,2020
00e9c157,biodegradable materials for packaging,e1d1ca20;430de0e2,2013
4d60d90e,human-robot interaction in workplace environments,7f1a0b84;975b7b24,2003
0bbe226b,additive manufacturing of aerospace parts,da731080;055bb072;b1b216d3;0ddd3bf7,2011
905bc7c2,evolutionary algorithms for design optimization,68df0b72;4d03d335;fa691a07;65100158,2019
a4233a07,pollen dispersal modeling in urban environments,368ac66d;0bbe226b;3e1a0857,2020
0336415d,historical linguistics and language evolution,8f513786;98c4550a;897c0dd5;65100158;055bb072,1990
0575e8a2,citizen science platforms for biodiversity,fc53f8f9;4ebca397;d2474297;5cfec4af,2011
f200f154,renewable energy integration into smart grids,8d3d4618;e74724a2;a0b13ed3,2022
9302c5d3,high energy cosmic ray detection,01d738ae;c372cb5e;0ed9aaf4,2015
bb57f330,renewable energy integration into smart grids,a4233a07,2006
2b280cb9,wireless power transfer in electric vehicles,94ae86f6;4d60d90e;bb57f330;0bbe226b,2014
24739bc0,microplastics in freshwater systems,6bb26ff7;01d738ae;22b1fb93,2002
81921601,high energy cosmic ray detection,4dd834ae;98c4550a,2002
55aa11e0,protein folding prediction with AI,a0b13ed3;12d531a5;6bb26ff7;055bb072;275c4c6f,1998
7c883580,genetic epidemiology of rare diseases,12d531a5;451a6c58;80125941;26b49673,2000
b9343198,dark energy survey methods,21e5a8b6,2010
406ed93b,few-shot learning for natural language processing,2ad397ab;22b1fb93;26b49673,2020
1131ecec,astrophysical jets from black holes,2bd13217;24739bc0,2020
734c4b99,convolutional neural networks for medical imaging,8bafacba,2013
2ed68e59,adversarial attacks on deep learning systems,e1d1ca20;0ddd3bf7;1adf50fe,1990
dcde54cb,migration patterns and urbanization,4b17c2cc;7f1a0b84;86e265c7;a4233a07;dbba747c,2005
6bb5ffac,hydrological modeling under climate change,86e265c7,2001
2b00017d,CRISPR gene drive implications,8bafacba;905bc7c2;e681c1a4,1995
615167de,advances in superconducting materials,01d738ae,2007
942c77c4,viral evolution tracking through genomics,0bbe226b,1997
5ad96d46,biodegradable materials for packaging,3fed0579;22b1fb93;605fa80e;fa691a07;bb637e50,2001
bdfb9396,digital humanities text mining methods,430de0e2,1996
e186bae2,ethnobotany of indigenous medicinal plants,bce5ecd2;8f513786,2001
f18d3b3b,tumor microenvironment modeling,6bb26ff7;0ddd3bf7;56740307,2004
4803cce4,AI models for disaster risk management,2fdc5672,2016
01347ea4,self-supervised learning in vision,24739bc0;22b1fb93,2005
ca650906,pollen dispersal modeling in urban environments,7f1a0b84;21e5a8b6;26b49673,1990
3f29e956,digital twin technology in manufacturing,4803cce4;22db8254;451a6c58;a4233a07;de381482,2006
1943f507,dark energy survey methods,26b49673;bb57f330;ed9c963d;09f4940e,1991
634c798e,additive manufacturing of aerospace parts,4d147e49;c372cb5e;65100158;09f4940e;d2474297,2000
90b12253,deepfake detection algorithms,2b280cb9,2015
266d7c79,3D printed prosthetics for amputees,efce38ff;348620df;ed820df6,2017
2d9c1b27,digital twin technology in manufacturing,e1d1ca20;734c4b99;8db05c21,2015
d5adee5d,self-supervised learning in vision,ff3b173d;fa691a07;a926da26,2005
7a612e7f,viral evolution tracking through genomics,5d8be6d7,1999
aafd58b2,neuroscience of social behavior,01d738ae,2019
12aece99,optical lattice clocks for timekeeping,d2474297;c50b13d9;2ed68e59;90b12253,2012
91555020,adversarial attacks on deep learning systems,81c489f3;8f513786,1997
34dafa5e,graph neural networks in chemistry,372f1993;c372cb5e;3f29e956,2011
1bae4da8,reinforcement learning in robotics,68df0b72;554f04a9;81921601;34792c7d,2009
7e3348c0,wearable biosensors for chronic disease management,2d9c1b27;4443162d;6dbd40df;a926da26,2020
d863ff28,pollen dispersal modeling in urban environments,4803cce4;c8835004;81c489f3;6c902c70,2002
4b9f4f7c,immunotherapy treatments for melanoma,7a612e7f;9302c5d3;4dd834ae,2016
336a7498,cognitive biases in decision making,8d3d4618;734c4b99;5ad96d46;7a612e7f,2018
54cd77ec,blockchain applications in supply chain management,87b4f827;6dbd40df,2022
7084879c,advances in superconducting materials,8f513786,1998
dfdd65fc,solar radiation management techniques,3e1a0857;1131ecec,2000
2c3f1492,historical linguistics and language evolution,5ad96d46;4d03d335;275c4c6f;901f7c77,2023
d93ac61b,explainable AI for healthcare applications,055bb072,2005
994136ca,technological innovation in ancient civilizations,55aa11e0;4dd834ae;54cd77ec,2004
d9881a74,hydrological modeling under climate change,275c4c6f;56740307;5aa05050;ca650906,2000
fb852b19,edge computing for smart cities,5ad96d46;1adf50fe,2018
08b87aa6,viral evolution tracking through genomics,615167de;22db8254;fa691a07;b2d9df6e;c372cb5e,1997
8cedd540,migration patterns and urbanization,651c2283;8bafacba;3fed0579,2008
7d3a456f,conservation genomics for endangered species,af6c54d7;1adf50fe;6bb5ffac;901f7c77,2021
e3c74bb4,blockchain applications in supply chain management,12aece99;1adf50fe,2023
dd16ad5d,single-cell RNA sequencing analysis,94ae86f6;4443162d;bdfb9396;3e1a0857,2012
a97fa40e,quantum entanglement experiments,2b280cb9;de381482,1999
d0d0efb1,few-shot learning for natural language processing,bb637e50;2bd13217;fc53f8f9,2010
a97805ae,immunotherapy treatments for melanoma,9ccf0f05;de381482;01347ea4,2002
f3bceb62,AI models for disaster risk management,ed820df6,1990
dde45ab6,microbiome-host interactions in immunity,451a6c58;d5adee5d,2022
a98b80b6,nuclear fusion reactor design,86e265c7;8d3d4618;a0b13ed3,2012
ae140900,tumor microenvironment modeling,aafd58b2,2000
74fab387,optical lattice clocks for timekeeping,7a612e7f;266d7c79;98c4550a,2005
5f70623f,microplastics in freshwater systems,8db05c21,2018
ee56d4a3,wildfire prediction using satellite imagery,4803cce4;8ae9a043;7d3a456f;20e96ae0;734c4b99,2021
1a772ce9,solar radiation management techniques,bdfb9396;54cd77ec;f6a821dd;4b17c2cc;2d9c1b27,2000
3ea92530,psychological impacts of long-term space travel,e3c74bb4,2015
0d07eeb5,remote sensing for archaeological site discovery,dcde54cb;dac12876;98c4550a,2017
c3c07ffc,drone-based delivery system optimization,09f4940e;d9881a74;2e24eb17;7a612e7f,2012
760ab120,VR therapy for PTSD treatment,21e5a8b6;0ddd3bf7;651c2283;942c77c4,1990
1b61e1ee,sparse coding in machine learning,8bafacba;7d3a456f;56740307,1990
f7775a13,gravitational wave astronomy with LIGO,4d60d90e;451a6c58;ff3b173d,2005
aa271a6f,wearable biosensors for chronic disease management,eb95d640;7f1a0b84;34dafa5e;b0257079;4e2f76d1,1990
d33640d6,remote sensing for archaeological site discovery,0bbe226b,2021
3b5e1a1c,migration patterns and urbanization,d0d0efb1,1997
e9a780c4,wildfire prediction using satellite imagery,d0d0efb1;22db8254;897c0dd5;6bb5ffac,2010
ee264175,tumor microenvironment modeling,2d9c1b27;1b61e1ee;49a82f3d;2b280cb9;7d3a456f,2004
32ae08fa,ethics of AI surveillance technologies,56e28d2b;bce5ecd2;ca650906;aafd58b2;905bc7c2,2006
4dc3e5f9,multimodal learning with text and images,87b4f827,2004
50fc55f3,cryptocurrency adoption in developing economies,eb95d640,2013
eead67d1,optical lattice clocks for timekeeping,0575e8a2;9302c5d3;c50b13d9;bb637e50;ca650906,1993
e16438f0,deepfake detection algorithms,4443162d;5cfec4af;5d8be6d7,2003
73bfd4c3,wireless power transfer in electric vehicles,a97805ae;b2d9df6e;01d738ae;0d07eeb5;aafd58b2,1995
271d7f7b,graph neural networks in chemistry,56740307;942c77c4,2010
bb6b4abd,immunotherapy treatments for melanoma,80125941;54cd77ec;fa691a07;6c902c70,2008
1801c3ef,autonomous ship navigation systems,cdbceee0;90b12253;9ccf0f05;b9343198;8bafacba,2007
e39b8bc7,technological innovation in ancient civilizations,897c0dd5;80125941;50fc55f3;0d07eeb5,2010
a6d9167d,hydrological modeling under climate change,4e2f76d1,1999
d999d268,ecosystem services valuation methods,430de0e2;6c902c70;0d07eeb5,2008
1a2f72ca,sparse coding in machine learning,5cfec4af;ff3b173d,2010
53f1ad03,few-shot learning for natural language processing,406ed93b,2016
64c417f5,particle physics beyond the standard model,7d94f236;4d147e49;3a4eedd5,2011
e28deab4,ecosystem services valuation methods,0575e8a2;bdfb9396;dfdd65fc;2c3f1492,2003
de61d9c5,graph neural networks in chemistry,bb57f330,2020
c9ff5a1c,viral evolution tracking through genomics,760ab120;e681c1a4;1131ecec;4dd834ae,2005
5814a929,surface chemistry in catalysis,26b49673,1999
dde6cb66,digital twin technology in manufacturing,d0d0efb1;b2040ca8;1bae4da8;8886624a,1992
4304ea38,nuclear fusion reactor design,2fdc5672;de61d9c5,2017
952afec9,self-supervised learning in vision,b2d9df6e,2003
4e20a518,economic inequalities in digital access,8ae9a043;de381482;651c2283;942c77c4,1994
47d7be89,autonomous ship navigation systems,4ebca397;9ccf0f05;734c4b99;d93ac61b,2005
421aaabc,VR therapy for PTSD treatment,a0b13ed3;4b9f4f7c;623ec2ec,2007
a14f0437,social network analysis in political movements,53f1ad03,2000
6d50784a,ethics of AI surveillance technologies,0575e8a2;e3c74bb4,1992
f7a7a0e2,advances in superconducting materials,aafd58b2;d9881a74;4b9f4f7c;3fed0579;08b87aa6,2015
10a161cb,federated learning for mobile devices,368ac66d;f3bceb62;53f1ad03;c9ff5a1c,1994
58c92211,philosophy of mind and consciousness,47d7be89;e74724a2,2016
ebfc1887,cognitive biases in decision making,7d94f236;f200f154;00e9c157;0575e8a2,2012
6449bc70,surface chemistry in catalysis,d93ac61b;a98b80b6;2b00017d,2005
036f4bcf,particle physics beyond the standard model,8cedd540;cdbceee0;2ed68e59;1bae4da8,2013
a5e81404,gravitational wave astronomy with LIGO,1b61e1ee;01d738ae;eb95d640;1131ecec,2003
ca867708,nuclear fusion reactor design,bb57f330,1995
abe04455,CRISPR gene drive implications,9302c5d3;dde6cb66;7d94f236,2010
f84e4d97,few-shot learning for natural language processing,3fed0579;a97fa40e;eb95d640,2014
01931073,wearable biosensors for chronic disease management,e74724a2;975b7b24;d33640d6,2006
7e5a2168,biodegradable materials for packaging,6d50784a;c50b13d9;7084879c,1991
b60db20f,convolutional neural networks for medical imaging,ddee0093;d0d0efb1;4d60d90e;1a2f72ca;86e265c7,2010
830db190,wearable biosensors for chronic disease management,98c4550a,2016
f3c8217d,digital twin technology in manufacturing,c9ff5a1c,1994
071c8df1,drone-based delivery system optimization,2d9c1b27,2022
151b2eda,symbolic regression using neural networks,897c0dd5,1995
4ddc57b5,nanomaterials for energy storage,dde45ab6;21e5a8b6;c3c07ffc,1997
c118699b,single-cell RNA sequencing analysis,4d60d90e,2008
5008fd35,microplastics in freshwater systems,6d50784a;bce5ecd2;08b87aa6;275c4c6f,1993
85f7fcd0,VR therapy for PTSD treatment,7a612e7f;0336415d,2023
786e789d,gravitational wave astronomy with LIGO,a4233a07;24739bc0;80125941,1994
4313cb4d,drone-based delivery system optimization,1bae4da8,2018
da4dc5b3,symbolic regression using neural networks,1b61e1ee;f18d3b3b;32ae08fa;952afec9;68df0b72,2001
5567d1c3,ecosystem services valuation methods,8cedd540;554f04a9;b982ad22,1998
51d6ece3,historical linguistics and language evolution,fa691a07;94ae86f6,2018
6c09848c,graph neural networks in chemistry,f3c8217d,1998
77ee2089,genetic epidemiology of rare diseases,10a161cb;942c77c4;eead67d1;bb57f330,1998
8b8f64ec,ethics of AI surveillance technologies,32ae08fa;7d3a456f;0bbe226b;b1b216d3,2015
dbe91834,remote sensing for archaeological site discovery,49a82f3d,1995
c2ff2559,synthetic media and misinformation,74fab387;08b87aa6;a97805ae;dbba747c,2003
7329d33f,genetic epidemiology of rare diseases,bb6b4abd;aa271a6f;dd16ad5d,1991
04482ed9,philosophy of mind and consciousness,56740307,1991
97d796b9,astrophysical jets from black holes,de381482;830db190,1991
35a28adc,robotic swarms for agricultural monitoring,09f4940e;dde45ab6,2014
391beb5b,remote sensing for archaeological site discovery,055bb072;2ed68e59;4b17c2cc;2fdc5672;10a161cb,1991
f9ce8fa9,graph neural networks in chemistry,de61d9c5;1801c3ef;cdbceee0;2e24eb17,1990
0f9a0c8c,surface chemistry in catalysis,8cedd540;5008fd35;a97fa40e;c8835004;a98b80b6,2018
dfa5b06d,evolutionary algorithms for design optimization,8d3d4618;7e3348c0,2023
c7ddbce8,solar radiation management techniques,dd16ad5d,2003
943e0b6c,gamification strategies in education,da4dc5b3;85f7fcd0;e16438f0;3a4eedd5;81c489f3,2019
ea195df7,citizen science platforms for biodiversity,6bb5ffac;50fc55f3;8f513786;34dafa5e,1990
36f2b513,psychological impacts of long-term space travel,87b4f827,1990
4d3064f0,astrophysical jets from black holes,897c0dd5;f9ce8fa9;a97805ae;8bafacba;ee264175,2004
831936d1,carbon sequestration in mangrove ecosystems,8f513786;dfdd65fc,1999
293be96e,immunotherapy treatments for melanoma,9302c5d3;4443162d,1994
f0cb81e6,personalized nutrition using genomics,35a28adc;634c798e;3a4eedd5;bb6b4abd,2022
2e53c9d5,personalized nutrition using genomics,8d3d4618;2e24eb17;943e0b6c;abe04455,2023
6103bcbc,AI models for disaster risk management,5f70623f;2c3f1492;151b2eda;f18d3b3b,2007
8bfbcf9d,surface chemistry in catalysis,49a82f3d;ee264175;7084879c;f6e2ef4d;651c2283,1992
7f977e91,personalized nutrition using genomics,2e24eb17;554f04a9,1998
f6773e87,solar radiation management techniques,f6e2ef4d;8bafacba;80125941,1999
5838d62b,technological innovation in ancient civilizations,54cd77ec;6d50784a,2016
efabbdcf,machine learning models for pandemic forecasting,5aa05050;554f04a9,2006
0b8b67d0,microbiome-host interactions in immunity,5814a929;80125941,1991
8c2eb87a,digital humanities text mining methods,22b1fb93;dfdd65fc,1995
477038e9,AI models for disaster risk management,0336415d;74fab387;0ed9aaf4;d33640d6,1993
7c1f7f2e,surface chemistry in catalysis,4d60d90e;f9ce8fa9;74fab387;53f1ad03,1995
0189e962,synthetic media and misinformation,81c489f3;7f1a0b84,2000
cdb1ddd4,advances in superconducting materials,c3c07ffc;391beb5b,2002
c99d0d5b,CRISPR gene drive implications,e74724a2;b60db20f;8ae9a043;dcde54cb,2020
600022e2,ethnobotany of indigenous medicinal plants,897c0dd5;975b7b24;f7a7a0e2,2007
8fea2105,machine learning models for pandemic forecasting,9302c5d3,1997
24d1db9e,single-cell RNA sequencing analysis,f84e4d97;da731080;1a2f72ca,2012
25f0d107,advances in superconducting materials,2e24eb17,2000
cd7e9d85,additive manufacturing of aerospace parts,ddee0093;5aa05050;271d7f7b;651c2283,2003
a81784a6,autonomous ship navigation systems,975b7b24;b9343198;32ae08fa,2005
4d93544c,remote sensing for archaeological site discovery,b2040ca8;4d147e49;421aaabc;0f9a0c8c;bdfb9396,2019
447a7b61,economic inequalities in digital access,4d3064f0;c7ddbce8;4443162d;ee264175;0189e962,2001
7d8a9e08,carbon sequestration in mangrove ecosystems,09f4940e;8db05c21;1bae4da8;af6c54d7,1998
95be610f,wildfire prediction using satellite imagery,54cd77ec;1131ecec,2006
651fb3c1,cognitive biases in decision making,5aa05050;e16438f0;275c4c6f;81921601,2018
7cd56830,astrophysical jets from black holes,4d03d335;34dafa5e;1131ecec,2005
1a458d0a,wearable biosensors for chronic disease management,805077b4;275c4c6f;dac12876,2022
d2c9bcae,historical linguistics and language evolution,f6e2ef4d,2011
d13f4e24,biodegradable materials for packaging,81921601;d93ac61b;942c77c4,2023
d9b30735,hydrological modeling under climate change,8c2eb87a;c2ff2559;6bb5ffac;391beb5b;de61d9c5,1999
d6659df1,edge computing for smart cities,7cd56830;7d3a456f;055bb072,2006
4f7e0fc1,philosophy of mind and consciousness,85f7fcd0,2020
5b279175,gamification strategies in education,e74724a2;87b4f827,2018
5c2f2a9f,viral evolution tracking through genomics,f6a821dd;4dc3e5f9;7e3348c0;055bb072;e3c74bb4,2014
837eda2e,high energy cosmic ray detection,a0b13ed3;b9343198;4d147e49;4f7e0fc1,1998
baf3d99d,privacy-preserving machine learning techniques,6103bcbc;56740307,2002
927f7f21,viral evolution tracking through genomics,d863ff28;8886624a;98c4550a;623ec2ec,2010
1abcc1d4,few-shot learning for natural language processing,d999d268;8886624a;a4233a07,2012
d27f7535,permafrost thaw and greenhouse gas emissions,36f2b513;dfa5b06d;98c4550a,2022
f7f34809,impact of ocean acidification on coral reefs,6103bcbc;4dd834ae;d5adee5d;c50b13d9,1996
3aa8ac51,blockchain applications in supply chain management,0bbe226b;e16438f0,1991
c0788731,robotic swarms for agricultural monitoring,97d796b9,2010
9dd14f4f,self-supervised learning in vision,4b9f4f7c;d9b30735,1998
6ee28216,evolutionary algorithms for design optimization,0ddd3bf7,2015
0b3f7860,transformer models for language translation,af6c54d7;d2c9bcae;942c77c4;3e1a0857,2000
535b22c9,ethics of AI surveillance technologies,c8835004;94ae86f6;f9ce8fa9;4e20a518;ca867708,1997
4da531d3,ecosystem services valuation methods,605fa80e,2001
05bf7e33,optical lattice clocks for timekeeping,d9b30735;dd16ad5d;1a458d0a,2021
9940a7f1,neuroscience of social behavior,6449bc70,1997
38bc3565,high energy cosmic ray detection,94ae86f6;8d3d4618;b0257079,1999
63b8ad0c,psychological impacts of long-term space travel,3f29e956;fb852b19;a81784a6;7cd56830,2023
9c8da83f,visual question answering systems,4dd834ae;bb57f330;8bfbcf9d;554f04a9;7e3348c0,1996
07d78359,cyber-physical security for industrial systems,4d3064f0;80125941;3aa8ac51,2018
507b5b48,social network analysis in political movements,12d531a5;47d7be89;20e96ae0,2009
65899cd9,advances in superconducting materials,734c4b99;0b3f7860;dfdd65fc,2018
2a177449,wearable biosensors for chronic disease management,5b279175;5814a929;bb57f330,1995
bd131f6b,migration patterns and urbanization,0d07eeb5;3f29e956;d999d268;85f7fcd0,2002
71d60c82,multimodal learning with text and images,348620df;22b1fb93;4b17c2cc;e3c74bb4;651c2283,2019
98b83b14,social network analysis in political movements,1131ecec,1995
4c87db57,ethnobotany of indigenous medicinal plants,0f9a0c8c;5cfec4af,1996
f87b4c75,hydrological modeling under climate change,615167de;8fea2105,1991
a3995b22,microplastics in freshwater systems,34dafa5e;5838d62b;dac12876,2004
a2fcb390,cognitive biases in decision making,0ed9aaf4;d93ac61b;8886624a;9c8da83f,2012
f6551253,single-cell RNA sequencing analysis,266d7c79,1993
158b43a5,surface chemistry in catalysis,d93ac61b,2001
479f7627,carbon sequestration in mangrove ecosystems,5ad96d46;98b83b14;071c8df1,2009
7e5fe95f,renewable energy integration into smart grids,d2474297;1adf50fe;897c0dd5;2d9c1b27,2019
731f38f9,gamification strategies in education,98b83b14,2012
b2714bb8,economic inequalities in digital access,08b87aa6;942c77c4;905bc7c2;830db190,1994
7c8de759,protein folding prediction with AI,7e5a2168;f200f154;c118699b;95be610f;f6551253,2002
2e55d6ba,historical linguistics and language evolution,151b2eda;336a7498;ed820df6,2007
622a741c,particle physics beyond the standard model,897c0dd5;54cd77ec;c9ff5a1c;cdbceee0;554f04a9,2011
1b716149,permafrost thaw and greenhouse gas emissions,2b00017d;91555020;3ea92530,2011
9748884f,federated learning for mobile devices,5b279175;a98b80b6;abe04455;34792c7d;d33640d6,1996
2bdf6f2e,pollen dispersal modeling in urban environments,1a2f72ca;622a741c,2021
78f10c96,blockchain applications in supply chain management,837eda2e;336a7498;91555020;a926da26;ff3b173d,2019
b22b4f54,autonomous ship navigation systems,901f7c77;85f7fcd0;dfa5b06d,2018
